tiempo1,soil1,soil2,soil3,temo,hum
16.09.2021 11:15,552.23877,661.11676,382.68161,29.54495,61.74144
16.09.2021 11:30,552.94501,660.80212,383.63089,29.84361,60.42199
16.09.2021 11:45,554.29504,659.3894,383.60849,29.9036,60.06499
16.09.2021 12:00,554.16327,661.82367,384.70224,29.38081,61.85034
16.09.2021 12:15,555.09564,662.64142,386.55252,28.25341,65.90643
16.09.2021 12:30,555.87244,668.67889,386.59064,27.821,66.83839
16.09.2021 12:45,555.26257,660.30872,385.55975,28.17809,66.60692
16.09.2021 13:00,554.78241,658.36646,385.37741,28.32288,65.82769
16.09.2021 13:15,555.02814,657.59503,385.22748,28.56991,65.26965
16.09.2021 13:30,554.97809,662.28363,385.65118,28.26094,67.03233
16.09.2021 13:45,554.16913,662.90082,385.58142,28.61996,65.96085
16.09.2021 14:00,553.95679,660.82001,385.68417,29.12848,64.6207
16.09.2021 14:15,554.50806,660.90363,385.93954,29.61746,62.84732
16.09.2021 14:31,555,659,387,29.5,64
16.09.2021 14:45,554.69849,660.28601,387.72845,29.44111,64.33764
16.09.2021 15:00,554.30157,658.9967,387.66135,29.51102,64.1395
16.09.2021 15:15,555.2132,655.83881,387.72595,29.70535,63.78679
16.09.2021 15:30,555.28595,667.7948,388.76926,28.88828,66.53854
16.09.2021 15:45,560.07526,675.22516,389.89447,28.85473,66.94462
16.09.2021 16:00,562.61469,672.03284,391.07144,28.70761,66.90615
16.09.2021 16:15,566.05017,669.97858,392.0528,28.47114,67.86252
16.09.2021 16:31,568,672,396,27.8,69
16.09.2021 16:45,568.85028,671.10895,397.53226,28.22675,68.90191
16.09.2021 17:00,567.34546,679.69232,399.69882,28.09989,68.86433
16.09.2021 17:15,558.052,672.28876,395.10406,27.90024,69.45473
16.09.2021 17:30,555.55292,671.51172,392.70319,27.69964,69.46531
16.09.2021 17:44,574,673,393,27.6,70
16.09.2021 17:44,572,673,393,27.5,70
16.09.2021 17:45,570.54413,673.22058,393.08823,27.52499,71
16.09.2021 18:00,565.2821,671.98114,393.63922,27.3914,72.04877
16.09.2021 18:15,565.01569,675.43146,394.80649,27.09657,73.40429
16.09.2021 18:31,568,676,397,26.8,74
16.09.2021 18:45,567.59692,675.23962,397.71939,26.86514,74.08377
16.09.2021 19:00,568.48871,676.96906,399.24408,26.9706,73.30079
16.09.2021 19:15,569.87659,677.56012,401.81171,27.08005,72.85565
16.09.2021 19:30,564.14459,671.66943,396.20953,27.0694,73.99057
16.09.2021 19:45,564.04248,674.87408,396.89874,26.91526,76.40819
16.09.2021 20:00,565.68457,675.80591,399.03796,26.77257,77.01899
16.09.2021 20:15,560.93024,671.46906,395.608,26.77859,76.68194
16.09.2021 20:31,551,669,390,26.3,76
16.09.2021 20:45,550.58472,666.63379,389.1694,26.38383,75.16822
16.09.2021 21:00,552.38995,672.64795,390.95898,26.07645,75.43095
16.09.2021 21:15,553.28876,677.27423,391.1861,25.74496,75.57594
16.09.2021 21:30,571.83685,677.06976,393.90924,25.53551,76.29486
16.09.2021 21:45,571.08179,674.35712,394.68695,25.60083,76.08862
16.09.2021 22:00,570.70831,674.80084,394.75275,25.60532,76.13277
16.09.2021 22:15,570.7077,674.45679,394.82922,25.56247,76.10686
16.09.2021 22:31,572,669,395,25.2,77
16.09.2021 22:45,571.20697,671.50238,395.71234,25.35623,76.793
16.09.2021 23:00,571.39044,671.43134,395.69339,25.30401,77.32285
16.09.2021 23:15,571.69043,671.64978,395.76227,25.20661,77.60011
16.09.2021 23:30,571.77246,671.47162,395.78427,25.09712,77.88758
16.09.2021 23:45,572.54816,672.66858,396.3472,24.89495,78.79274
17.09.2021 00:00,575.61951,671.37946,396.82758,24.94745,78.60535
17.09.2021 00:15,578.0481,667.18402,396.86462,24.86683,79.23
17.09.2021 00:31,576,677,397,24.6,81
17.09.2021 00:45,574.32397,672.0152,397.02457,24.93087,79.17836
17.09.2021 01:00,573.9483,669.25848,396.83499,24.80963,79.37859
17.09.2021 01:15,574.09119,661.98279,397.30121,24.304,81.52267
17.09.2021 01:30,574.94421,661.30048,397.79446,24.53821,80.7423
17.09.2021 01:45,574.86359,659.414,397.79507,24.37909,81.33508
17.09.2021 02:00,575.24817,692.65363,398.23721,24.62463,80.20742
17.09.2021 02:15,575.52106,700.6283,397.96823,24.77634,79.63405
17.09.2021 02:30,575.96503,689.78113,397.75888,24.46185,80.77901
17.09.2021 02:45,575.87714,689.93079,397.91931,24.33267,81.30817
17.09.2021 02:46,572.5766,678.49548,395.37839,23.69548,82.4955
17.09.2021 03:00,576.66742,688.29675,398.31076,24.54699,80.63718
17.09.2021 03:15,576.71558,687.9787,397.94748,24.57862,80.17785
17.09.2021 03:30,576.82983,689.06525,398.20721,24.34874,81.16388
17.09.2021 03:46,577,685,398,25,79
17.09.2021 04:00,577.12946,685.49646,398.08847,24.67875,79.66865
17.09.2021 04:15,577.44958,687.10498,398.12839,24.39859,80.70062
17.09.2021 04:31,578,653,398,24.7,80
17.09.2021 04:45,578.37177,672.5647,398.58765,24.43974,80.66353
17.09.2021 05:00,578.57813,683.99219,398.62708,24.24488,81.39531
17.09.2021 05:15,578.69843,680.92029,398.74323,24.35403,80.97865
17.09.2021 05:30,578.77716,666.25262,398.76199,24.17665,81.93842
17.09.2021 05:45,579.32727,668.77087,398.79593,24.18659,81.75209
17.09.2021 06:00,579.81366,667.85944,398.84747,24.05562,82.45081
17.09.2021 06:15,579.41815,665.8634,399.30136,24.19929,81.91658
17.09.2021 06:31,581,662,399,24.3,81
17.09.2021 06:45,580.29761,664.67853,399.80548,24.52277,80.63483
17.09.2021 07:00,579.24127,671.38226,399.49399,24.74145,79.84021
17.09.2021 07:15,580.02087,674.60803,399.35437,24.67764,80.26931
17.09.2021 07:30,579.46564,677.52234,399.96747,25.02948,78.85406
17.09.2021 07:45,579.55267,670.05823,399.70004,25.15952,78.37179
17.09.2021 08:00,579.58228,671.06342,398.96857,25.24139,77.81918
17.09.2021 08:15,579.64417,671.98999,398.302,25.61309,76.68743
17.09.2021 08:30,579.39734,672.30316,396.89896,26.431,74.48889
17.09.2021 08:46,581,667,398,26.2,75
17.09.2021 09:00,580.54486,674.09387,397.8978,26.14565,75.29293
17.09.2021 09:15,580.6015,670.42743,396.98056,27.21253,71.88591
17.09.2021 09:30,580.68695,671.40283,397.81146,26.82216,72.95431
17.09.2021 09:45,580.68964,672.68439,397.07523,27.77464,70.05576
17.09.2021 09:46,575.73639,667.37274,394.23636,27.16911,69.36364
17.09.2021 10:00,580.68335,671.15778,397.12354,28.27491,68.94722
17.09.2021 10:15,580.64087,669.8136,396.42023,29.15314,66.25224
17.09.2021 10:31,574,663,392,28.7,67
17.09.2021 10:45,575.72882,662.5965,391.67117,28.00392,69.13235
17.09.2021 11:00,574.00836,664.98901,390.8718,27.96423,68.88854
17.09.2021 11:15,573.17529,663.30518,390.21127,28.33032,68.0313
17.09.2021 11:30,567.26111,669.26947,390.67139,28.87994,66.40293
17.09.2021 11:45,566.21448,669.66699,391.49188,29.52453,64.75459
17.09.2021 12:00,570.45001,668.00421,390.92474,29.06219,66.30947
17.09.2021 12:15,567.45648,674.92865,392.4743,28.76027,66.62277
17.09.2021 12:31,562,677,391,29.7,64
17.09.2021 12:45,563.23016,675.638,390.83459,29.3723,65.02943
17.09.2021 13:00,568.65234,668.19,392.12622,29.95812,63.04022
17.09.2021 13:15,569.89386,674.08099,390.35315,29.9162,63.06267
17.09.2021 13:30,571.08521,671.69904,391.69537,29.42381,64.55337
17.09.2021 13:45,571.38269,671.27545,391.66223,29.39428,64.5967
17.09.2021 14:00,571.2002,671.62714,391.4054,29.58171,64.22446
17.09.2021 14:15,571.84357,672.68164,392.75937,28.96851,66.64684
17.09.2021 14:30,571.81317,671.63757,393.23187,28.9495,67.35455
17.09.2021 14:45,572.15491,668.14435,393.79834,29.11148,67.37443
17.09.2021 15:00,571.9826,667.31378,393.46085,29.64784,65.42602
17.09.2021 15:15,571.99683,666.75848,393.48077,29.66769,65.29506
17.09.2021 15:30,572.0293,665.37061,393.55978,29.74158,65.28355
17.09.2021 15:45,572.25433,662.5976,393.65903,29.37907,66.56095
17.09.2021 16:00,571.81677,665.27942,393.0206,29.62323,65.65735
17.09.2021 16:15,571.73376,655.76123,393.01373,29.50845,66.18481
17.09.2021 16:30,571.68127,653.48486,392.8241,29.47134,66.23965
17.09.2021 16:45,571.76227,652.22723,392.90884,29.22089,67.5694
17.09.2021 17:00,571.72046,657.29675,392.85767,29.36046,67.06326
17.09.2021 17:15,571.73761,665.95593,393.11038,29.11166,68.09208
17.09.2021 17:30,571.79156,662.36554,393.7934,28.87492,68.52634
17.09.2021 17:45,571.7915,660.93677,393.98166,28.72836,68.82447
